ID,Material,Rela‡Æo C:N
1,Palha de arroz,39
2,Casca de cafe,25.4
4,Casca de cafe (lavador),16.6
5,Casca de cafe em coco,21
6,Casca de coco,10.7
7,Casca de pinus,114.5
10,Palha de Bambu,25.3
11,Palha de aveia,72
12,Aveia: Casca,63
13,Arroz: Casca,39
14,Capim coloniao,27
15,Capim gordura,81
16,Capim jaragua,64
17,Capim Limao/Cidreira,62
18,Capim Elefante,35.7
19,Palha de feijao guandu,29
20,Grama batatais,36
21,Serragem,160.7
23,Serragem branca,253.6
24,Serragem vermelha,290.5
25,Palha de milho,112
26,Poda de arvore,50
27,Casca de trigo,100
